1234,ElektronImFeld,"08/01/2021, 12:26:30.613613",b_play,True
1234,ElektronImFeld,"08/01/2021, 12:26:33.020362",s_velocity,12.3
1234,ElektronImFeld,"08/01/2021, 12:26:33.082860",s_velocity,13.1
1234,ElektronImFeld,"08/01/2021, 12:26:33.267793",s_velocity,17.1
1234,ElektronImFeld,"08/01/2021, 12:26:33.321178",s_velocity,19.5
1234,ElektronImFeld,"08/01/2021, 12:26:33.383677",s_velocity,25.2
1234,ElektronImFeld,"08/01/2021, 12:26:33.452690",s_velocity,30.8
1234,ElektronImFeld,"08/01/2021, 12:26:33.521723",s_velocity,33.2
1234,ElektronImFeld,"08/01/2021, 12:26:36.244403",b_play,False
1234,ElektronImFeld,"08/01/2021, 12:26:36.761567",b_reset,True
